,sentence_id_pmcid,augmented_set,augmented_set_preceding,augmented_set_trailing,section,section.1,CONSORT_Item
0,PMC4770816S58,follow up ceased if the participant had a major bear cardiovascular event,in both arms of the trial the general practitioners had access to a computer based algorithm that actively suggested drugs and dosage if the participant was above target,the primary outcome was change in systolic blood coerce between baseline and one year,['Procedures'],Methods,['7b']
1,PMC4770816S58,follow up ceased the had a major cardiovascular event,in both arms the trial the general practitioners had access to a computer based algorithm that actively drugs and dosage if the participant was above target,the primary outcome was change in systolic lineage pressure between baseline and one year,['Procedures'],Methods,['7b']
2,PMC4770816S58,a up ceased if the participant had follow major cardiovascular event,in both arms of the trial the general practitioners had access to a computer based algorithm inwards that actively suggested drugs and dosage if computing machine the participant was above target,baseline primary outcome was change in systolic blood pressure between the and one year,['Procedures'],Methods,['7b']
3,PMC4770816S58,follow up ceased if the player had a major cardiovascular event,in both arms of the trial the general practitioners had access to a computer found algorithm that actively suggested do drugs and dosage if the participant was above target,primary outcome was change in systolic blood pressure between baseline and one year,['Procedures'],Methods,['7b']
4,PMC4770816S58,follow up ceased if the participant surveil had a major cardiovascular event,in both arms of the trial the to practitioners had access actively a computer based algorithm that general suggested drugs and dosage if the participant was above target,in primary outcome was change the systolic blood pressure between baseline and one year,['Procedures'],Methods,['7b']
5,PMC4770816S58,follow up ceased the if participant had a major cardiovascular event,in both arms of the trial the dosage practitioners had access to a computer participant algorithm that actively suggested drugs and general if the based was above target,the primary outcome was change systolic blood pressure between baseline and one year,['Procedures'],Methods,['7b']
6,PMC4770816S58,follow up ceased if the participant had a major cardiovascular event ,in both arms of the trial the general practitioners had access to a computer based algorithm that actively suggested drugs and dosage if the participant was above target ,the primary outcome was change in systolic blood pressure between baseline and one year ,['Procedures'],Methods,['7b']
7,PMC4770816S75,subgroup analyses were pre specified for diabetes mellitus atrial fibrillation and geezerhood group,we also explored the potential imputation of missing effects by the use of three approaches multiple values group mean and last available value,in quicksilver addition we did a subgroup analysis by baseline systolic blood pressure mm hg mm hg,['Statistical analysis'],Methods,['12b']
8,PMC4770816S75,subgroup analyses were pre specified for diabetes age atrial fibrillation and mellitus group,feeler we also explored the potential effects omit of missing values by the use of three approaches multiple imputation group mean and last available value,in addition we did a by analysis subgroup baseline systolic blood pressure mm hg mm hg,['Statistical analysis'],Methods,['12b']
9,PMC4770816S75,subgroup analyses were pre specified diabetes for mellitus atrial fibrillation and age group,we also explored the potential effects missing values by the use of three group mean and last available value,quicksilver in addition we did a subgroup analysis by baseline systolic blood pressure mm hg mm hg,['Statistical analysis'],Methods,['12b']
