,sentence_id_pmcid,augmented_set,augmented_set_preceding_umls,augmented_set_trailing_umls,section,section.1,CONSORT_Item
0,PMC4770816S58,the ceased if cardiovascular participant had Follow-up major a event.,"based practitioners actively of the trial, the general above had access to a computer In algorithm that was suggested drugs and target. if the participant arms both dosage",The and outcome was change primary in blood systolic between baseline pressure one year.,['Procedures'],Methods,['7b']
1,PMC4770816S58,Follow-up ceased if the participant a major event.,"do drugs player In reckoner both arms of the trial, the general practitioner practitioners had access to algorithmic rule a computer based algorithm that approach actively suggested drugs and dosage if do drugs the participant was free base above target.",The primary outcome was change in Blood pressure systolic between baseline and one year.,['Procedures'],Methods,['7b']
2,PMC4770816S58,review ceased if the player had a john r major cardiovascular event.,"In both Brachium of the trial, the general practitioners had access to a computer based Calculated that actively suggested Medication and dosage if the participant was above target.",The primary outcome was change in sbp between baseline and one year.,['Procedures'],Methods,['7b']
3,PMC4770816S58,Follow-up cease if the player had a john r major cardiovascular event.,"In both upper arm of the trial, the general practitioners had access to a computer based Calculated that actively suggested Pharmaceutical Preparations and dosage if the participant was above target.",The primary outcome was change in systolic blood pressure between baseline one,['Procedures'],Methods,['7b']
4,PMC4770816S58,Follow-up john roy major ceased if player the participant had a reexamination major cardiovascular event.,"In both arms of the trial, the cosmopolitan practician had access code to a reckoner based algorithmic program that actively suggested dose and dose if the player was above target.",The primary outcome was change in Systolic blood pressure measurement between baseline and one year.,['Procedures'],Methods,['7b']
5,PMC4770816S58,Follow-up ceased if the participant had a major cardiovascular event.,"In both Brachiums of the trial, the general practitioners had access to a computer based Calculated that actively suggested Medications and dosage if the participant was above target.",The primary upshot was interchange in systolic bloodline pressure between baseline and  year.,['Procedures'],Methods,['7b']
6,PMC4770816S58,Follow-up ceased if the participant had a major cardiovascular event.,"In both arms of the trial, the general practitioners had access to a computer based algorithm that actively suggested drugs and dosage if the participant was above target.",The primary outcome was change in systolic blood pressure between baseline and one year.,['Procedures'],Methods,['7b']
7,PMC4770816S75,"Subgroup analyses were pre-specified for late onset diabetes mellitus, Atrium fibrillation, and age group.","We likewise explored the possible outcome of lacking values by the use of three approaches: multiple imputation, radical mean, and last useable value.","we did a subgroup analysis by baseline blood pressure Hg, ≥140 mm",['Statistical analysis'],Methods,['12b']
8,PMC4770816S75,"Subgroup analyses were pre-specified for Diabetes Type 2 mellitus, Heart Atrium fibrillation, and age group.","We also explored the potential value. by missing use and the values of three approaches: available imputation, effects mean, of last multiple group","In addition, we did a subgroup analysis by baseline Blood pressure systolic (<140 mm Hg, ≥140 mm Hg).",['Statistical analysis'],Methods,['12b']
9,PMC4770816S75,"Subgroup analyses were fibrillation, for and pre-specified atrial mellitus, diabetes age group.","also explored effects of missing values the use of three group mean, and last available","(<140 addition, we did analysis subgroup a by baseline systolic mm pressure In blood Hg, ≥140 mm Hg).",['Statistical analysis'],Methods,['12b']
10,PMC4770816S75,"subgroup psychoanalyze were pre-specified for diabetes mellitus, atrial fibrillation, and maturate group.","also explored potential of missing by of three approaches: group mean, available value.","in addition, we did a subgroup analysis by service line systolic rake pressure level (<140 millimetre Hg, ≥140 millimetre Hg).",['Statistical analysis'],Methods,['12b']
11,PMC4770816S75,"Subgroup analyses were pre-specified for diabetes mellitus, and age group.","We also explored the potential effects of missing values by the use of three approaches: multiple imputation, group mean, and last available value.","we subgroup by baseline systolic pressure (<140 mm Hg, ≥140 mm",['Statistical analysis'],Methods,['12b']
12,PMC4770816S75,"Subgroup analyses were body pre-specified for diabetes subgroup mellitus, atrial personify fibrillation, and age group.","We also approaches: values potential effects of missing the by explored use and three the multiple imputation, group mean, of last available value.","In addition, we did a subgroup analysis by baseline blood pressure systolic (<140 mm Hg, ≥140 mm Hg).",['Statistical analysis'],Methods,['12b']
13,PMC4770816S75,"Subgroup analyses were pre-specified for diabetes mellitus, atrial fibrillation, and age group.","We also explored the potential effects of missing values by the use of three approaches: multiple imputation, group mean, and last available value.","In addition, we did a subgroup analysis by baseline systolic blood pressure (<140 mm Hg, ≥140 mm Hg).",['Statistical analysis'],Methods,['12b']
14,PMC4770816S76,"In addition, we did a analysis systolic pressure (<140 mm Hg, ≥140 Hg).","analyses for diabetes atrial fibrillation, and age group.","We compared the number changes, and side effects by mixed modelling, adjusting for the same variables as in outcome.",['Statistical analysis'],Methods,['12b']
15,PMC4770816S76,"amp millimeter In addition, we coerce did millimeter a subgroup analysis by millimetre baseline systolic blood pressure (<140 mm Hg, ≥140 mm Hg).","Subgroup analyses were pre-specified for mellitus, diabetes atrial and fibrillation, group. age","We compared the upshot number of consultations, treatment changes, and side effects by using count generalised variable mixed modelling, incline apply adjusting for the same variables as in the apply aline primary outcome.",['Statistical analysis'],Methods,['12b']
16,PMC4770816S76,"In addition, we did a subgroup set analysis by baseline systolic blood psychoanalysis millimeter pressure hardened (<140 mm Hg, ≥140 mm set Hg).","Subgroup analyses were pre-specified for AODM mellitus, atrium fibrillation, and age group.","We compared the number of consultations, Therapy changes, and side effects by using generalised mixed modelling, adjusting for the same variables as in the primary outcome.",['Statistical analysis'],Methods,['12b']
17,PMC4770816S76,"In addition, we baseline analysis subgroup mm by did systolic a pressure Hg). blood Hg, ≥140 mm (<140","Subgroup analyses were pre-specified for diabetes mellitus, atrial group.","We compared the number of consultations, TX changes, and side effects by using generalised mixed modelling, adjusting for the same variables as in the primary outcome.",['Statistical analysis'],Methods,['12b']
18,PMC4770816S76,"In addition, we did a subgroup analysis by baseline sbp (<140 mm Hg, ≥140 mm Hg).","Subgroup analyses were pre-specified for Diabetes mellitus type 2 mellitus, Heart Atrium fibrillation, and age group.","liken We upshot compared the number of consultations, treatment changes, and away side effects by using incline generalised mixed modelling, adjusting for inward the same variables as in the aline compare primary outcome.",['Statistical analysis'],Methods,['12b']
19,PMC4770816S76,"In addition, we did a subgroup analysis by baseline Systolic blood pressure measurement (<140 mm Hg, ≥140 mm Hg).","subgroup analytic thinking were pre-specified for diabetes mellitus, atrial fibrillation, and years group.","We the consultations, treatment changes, effects by mixed modelling, for the as in the primary",['Statistical analysis'],Methods,['12b']
