PairID,Protocol/Results,PMCID,Link,Text,Centers (select the best answer),Used full article,Notes
1,Protocol,PMC3117715,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3117715/,"...The study population comprises patients admitted to the Acute Medical Admissions Unit of a single large teaching hospital (providing sole emergency general medical services for its catchment population), who are aged over 65, and thought to be 'confused' on initial assessment by the clinical team responsible for their care....",Single,No,
1,Results,PMC3698942,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3698942/,...We recruited patients admitted for acute medical care to a large British National Health Service hospital providing sole emergency medical services for its local population....,Single,No,
2,Protocol,PMC3120681,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3120681/,"...This is an assessor-blinded, parallel-group, multi-centre randomized controlled trial....The pilot study will be a multi-centre study involving:...",Multiple ,No,
2,Results,PMC6040068,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6040068/,"...The Strategic Use of New generation antidepressants for Depression (SUN☺D) is a multi-centre, open-label, assessor-blinded, pragmatic RCT that involved two randomisation steps to examine the first- and second-line treatment strategies for untreated unipolar major depressive episodes. The study was conducted in the departments of psychiatry at 48 clinics and hospitals across Japan between December 2010 and September 2015....",Multiple ,No,
3,Protocol,PMC3355035,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3355035/,...Fifty seven severely fatigued and 21 non-fatigued cancer survivors will be recruited from the Radboud University Nijmegen Medical Centre....,Single,No,
3,Results,PMC4260077,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4260077/,"...The local ethics committee of the Radboud University Nijmegen Medical Centre (RUNMC, Nijmegen, the Netherlands) approved the study and all participants provided written informed consent....",Single,No,
4,Protocol,PMC3418177,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3418177/,...Children with spastic uCP will be recruited via the CP-care program of the University Hospitals Leuven....,Single,No,
4,Results,PMC3770709,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3770709/,...Children with uCP were recruited between June 2014 and June 2017 via the cerebral palsy (CP) reference centre of the University Hospitals Leuven....,Single,No,
5,Protocol,PMC6069849,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6069849/,"...In a multi-centre, 12-month, superiority trial, we will randomise patients with TRD and history of DSH to (i) add lithium to usual treatment (add-on lithium strategy) or (ii) avoid lithium in usual treatment (without-lithium strategy)....",Multiple ,No,
5,Results,PMC6977217,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6977217/,"...The study was funded by the Italian Medicine Agency and received ethical approval in each participating site....On this occasion, however, of more than 50 Italian community psychiatric services that were initially interested in the study, only 22 were able to contribute and randomised at least one patient....",Multiple ,No,
6,Protocol,PMC3751729,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3751729/,"...This is a multi-centre hospital ED / AMU open label, randomised controlled trial of participants aged ≥ 16 years presenting with an episode of palpitations or pre-syncope and whose underlying ECG rhythm during these episodes remains undiagnosed after ED assessment....EDs and AMUs of 10 tertiary and district general hospitals in the UK....The IPED study will recruit 242 participants across 10 hospital sites....",Multiple ,No,
6,Results,PMC4210495,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4210495/,"...Multi-centre open label randomised controlled trial in EDs and Acute Medical Units (AMU) of 10 tertiary and district general hospitals in the UK....Between 4 July 2016 and 9 January 2018, 243 participants were recruited to the study at 10 centres (Edinburgh 66 participants, 27.2%, Reading 57, 23.5%, Royal London 43, 17.7%, Exeter 24, 9.9%, Plymouth 15, 6.2%, Chesterfield 12, 4.9%, Leicester 12, 4.9%, Musgrove Park 5, 2.1%, Nottingham 5, 2.1%, Whipps Cross 4, 1.6%)....",Multiple ,No,
7,Protocol,PMC6311046,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6311046/,"...Twelve CHCs were randomly assigned (see below) as intervention sites or standard of care sites, stratified by antenatal care clinic case load in the upper 50th percentile of MTCT rates (>13%)....The twelve CHCs were matched in a 1:1 ratio according to patient census and average ANC volume, and one clinic in each pair was randomly assigned to the experimental or control condition using a computer program written by the data manager....",Multiple ,No,
7,Results,PMC6537555,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6537555/,"...Twelve CHCs were randomly assigned as intervention sites or standard of care sites, stratified by antenatal care clinic case load in the upper 50th percentile of MTCT rates at the onset of the study (> 13%)....The twelve CHCs were matched in a 1:1 ratio according to patient census, average ANC volume, and MTCT rates; one clinic in each pair was randomly assigned to the experimental or control condition using a computer program written by the data manager....",Multiple ,No,
8,Protocol,PMC4219009,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4219009/,"...This study was financially supported by a contract with Ministry for Food, Agriculture, Forestry and Fisheries (MIFAFF)/Korea Food Research Institute (KFRI)/Institute of Jinan Red Ginseng (IJRG) and is being conducted at the Clinical Trial Center for Functional Food of Chonbuk National University Hospital.",Single,No,
8,Results,PMC5732507,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5732507/,"...This study was a 12 weeks, randomized, double-blind, placebo-controlled clinical trial at the onset of the influenza season at the Chonbuk National University Hospital (Fig. 1)....",Single,No,
9,Protocol,PMC3297520,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3297520/,"...The Prospective, Randomized Trial on Intensive SMBG Management Added Value in Non-insulin-Treated T2DM Patients (PRISMA) is a 12-month, prospective, multicenter, open, parallel group, randomized, and controlled clinical trial that was designed to evaluate the added value of an intensive, structured SMBG regimen in T2DM patients treated with oral agents and/or diet alone (Fig. 1)....Participants will be recruited from 39 clinical sites in Italy, including diabetes outpatient clinics affiliated with academic institutions and hospitals of the Italian National Health Care System....",Multiple ,No,
9,Results,PMC3524425,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3524425/,"...This was a 12-month, prospective, multicenter, open-label, parallel-group, randomized, controlled clinical trial; the full protocol was previously reported (16)....The trial was conducted at 39 diabetes clinics in Italy....",Multiple ,No,
10,Protocol,PMC3898142,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3898142/,"...* Strengths include the stratified randomisation, double-blind placebo-controlled design and being a multicenter trial....Subjects will be randomised 1:1 after stratification for site (OUH, Svendborg Hospital, Vejle Hospital or Silkeborg Hospital) and AVC score (300–599 or ≥600). Each site will be provided with sequentially numbered, opaque and sealed envelopes containing randomly generated treatment allocations....",Multiple ,No,
10,Results,PMC3781531,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3781531/,"...This study was an investigator-initiated multicenter, randomized, double- blinded, placebo-controlled trial conducted at 4 Danish hospitals (Odense, Svendborg, Vejle, and Silkeborg)....From February 1, 2018, to March 21, 2019, a total of 389 patients were enrolled at 4 centers....",Multiple ,No,
11,Protocol,PMC6112404,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6112404/,"...The study, a RCT, will assign 440 opioid users from three addiction treatment centers to receive either MAT + A-CHESS or MAT alone....Patients will be recruited from outpatient detoxification and treatment programs at three sites, two in Massachusetts and one in Wisconsin....",Multiple ,No,
11,Results,PMC9047644,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9047644/,...Individuals with diagnosed OUD of at least moderate severity who were receiving addiction treatment at 3 centers in Massachusetts and Wisconsin were randomly assigned in a 1:1 ratio to receive either MAT alone (control arm) or MAT+A-CHESS (experimental arm)....,Multiple ,No,
12,Protocol,PMC5153683,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5153683/,"...This is a prospective, single-centre, investigator-blinded, randomised, parallel group design trial conducted at the Center of Thrombosis and Hemostasis of the University Center Mainz, Germany in collaboration with the Department of Medicine II, the Institute for Clinical Chemistry and Laboratory Medicine, the Institute of Medical Biostatistics, Epidemiology and Informatics, the Pharmacy and the Interdisciplinary Center for Clinical Studies....",Single,No,
12,Results,PMC7939944,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7939944/,"...After enrollment in the study, women will be invited to go to the Epidemiology Research Center to collect baseline data, that is, blood and urine sampling, anthropometry, blood pressure and lung function....",Single,No,
13,Protocol,PMC4025413,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4025413/,"...Phase 2 consist of a multi-centric RCT to assess the effectiveness of a six- month primary care intervention to reduce the daily hours of sedestation as well as to increase their weekly caloric spend at the end of the intervention and at short, medium and long term among overweight and mild obese persons....Recruitment will take place in 13 PHC in different regions of Spain (Barcelona, Lleida, Zaragoza and Almeria)....",Multiple ,No,
13,Results,PMC8710519,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8710519/,...The participants were recruited from two primary care centers in the city of Zaragoza (Spain) from September 2013 to September 2014....,Multiple ,No,
14,Protocol,PMC4446829,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4446829/,"...A pragmatic, 3-group, randomised, assessor-blinded, single-centre trial exploring the cardiovascular physiological effects of the use of e-cigarettes (nicotine-free and nicotine-inclusive, assessed separately) combined with behavioural support as a smoking cessation method in comparison to the combination of NRT and behavioural support....",Single,No,
14,Results,PMC5741924,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5741924/,"...This single-center pragmatic three-arm randomized controlled trial was conducted in Sheffield, UK; recruitment took place between June 2017 and July 2019....",Single,No,
15,Protocol,PMC3973868,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3973868/,"...The CRASH-3 trial is an international, multicenter, pragmatic, randomized, double-blind, placebo-controlled trial to quantify the effects of the early administration (within 8 h of injury) of TXA on death and disability in TBI patients....Patient recruitment is planned to take place in over 30 countries and is due to start in April 2012....",Multiple ,No,
15,Results,PMC8296136,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8296136/,"...The CRASH-3 trial was an international, multi-centre, randomised, placebo- controlled trial of the effects of tranexamic acid on death and disability in patients with TBI....Between July 20, 2012, and Jan 31, 2019, we recruited patients with TBI from 175 hospitals in 29 countries....",Multiple ,No,
16,Protocol,PMC5379660,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5379660/,"...A multicenter randomized controlled trial, called ACU-COL, started in January 2013 and will collect data until May 2015....Two of the four study centers are located outside the second and third biggest cities in Sweden and the remaining two in smaller cities....",Multiple ,No,
16,Results,PMC9380327,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9380327/,"...We performed a multicentre three-armed RCT (ACU-COL) to compare two styles of acupuncture as an adjunct to gold standard care with gold standard care alone (no acupuncture) in infants with colic. The study was conducted at four CHCs in Sweden, which comprised two centres located close to the second and third biggest cities in Sweden, and two in smaller cities....As infants were randomised into two strata (ages 2–5 and 6–9 weeks, respectively), two randomisation lists were created for each study centre....",Multiple ,No,
17,Protocol,PMC3481366,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3481366/,...The study is currently being carried out at four primary healthcare centers (PHC) located in low-income communities in peri-urban areas of Karachi (Fig. 1)....,Multiple ,No,
17,Results,PMC6853170,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6853170/,"...This was an investigator initiated double blind randomized controlled non- inferiority trial at four Primary Health Care Centers (PHCs) run by the Department of Pediatrics and Child Health, Aga Khan University....Participants who self-referred to primary health care centers (PHCs) in contiguously located peri urban sites in Karachi, Pakistan were recruited after being triaged for cough or difficulty breathing....",Multiple ,No,
18,Protocol,PMC4570710,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4570710/,"...Among the four participating districts, 52 CHO areas were identified and categorized as either “near” (≤ 10 km) and “far” (> 10 km) from a facility with capacity for emergency obstetric care....",Multiple ,No,
18,Results,PMC5466913,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5466913/,"...Study participants are recruited from outpatient clinics, located in Mansoura City, the capital of Dakahlia Governorate, and surrounding cities located within a radius of 30 km from the capital city....",Multiple ,No,
19,Protocol,PMC5859815,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5859815/,"...In this community-based study, the participants were approached by physicians and nurses at seven outpatient clinics located in Mansoura City, the capital of Dakahlia Governorate, and surrounding cities within a 30 km radius....",Multiple ,No,
19,Results,PMC7877039,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7877039/,"...The study was designed as a three-armed, randomized, and controlled trial in two delivery wards in two different hospitals in Sweden....All nulliparous women who were in gestational week 34–36 and attended regular checkups with a midwife at the antenatal clinics connected to the two hospitals received written and oral information about the study and an address to an informative study website (http://www.akupunkturstudien.se)....",Multiple ,No,
20,Protocol,PMC4710982,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4710982/,...The recruitment of participants took place between November 2008 and October 2011 at two hospital delivery wards in Sweden....,Multiple ,No,
20,Results,PMC7244232,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7244232/,"...We then conducted probability proportional to estimated size (PPES) random sampling of the resulting village clusters, with the estimated number of eligible households as the measure of cluster size [30]....",Multiple ,No,
21,Protocol,PMC3406972,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3406972/,"...The Enteral vs. Intravenous Italian Trial (SedaEN) is a randomized, controlled, multicenter, single-blind trial (clinicaltrials.gov # NCT01360346), which aims to compare the efficacy of two different clinical approaches for sedative therapies (Figure 2): in the control group propofol and midazolam are continuously administered through intravenous route with daily interruption [8]....Considering missing data, 300 patients were expected to be enrolled among the 12 centers....",Multiple ,No,
21,Results,PMC3794862,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3794862/,"...Briefly, the “Enteral versus intravenous sedation trial (SedaEN)” is a randomized, controlled, multicenter, single-blind trial (ClinicalTrials.gov,  NCT01360346), to compare two protocols for sedation management, both used after adequate analgesia....",Multiple ,No,
22,Protocol,PMC7745514,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7745514/,"...Villages receiving Sprinkles or CSB++ will be excluded based on information provided by UNICEF, WFP and the Ministry of Health. Small villages that are close to each other may merged into one site, or large villages split into multiple sites, in order to create sites of similar sizes....",Multiple ,No,
22,Results,PMC8852666,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8852666/,"...The trial was conducted using Way to Health [21], an automated information technology platform at the University of Pennsylvania that integrates wireless devices, conducts clinical trial randomization and enrollment processes, delivers messaging (via text or email), delivers self- administered surveys, automates payment transfers, and securely captures data for research purposes....",Single,No,
23,Protocol,PMC3345610,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3345610/,"...The study was conducted using Way to Health,21 a research technology platform at the University of Pennsylvania used previously for remote monitoring and behavioral interventions.18,19,23,24,25,26,27...Potential participants were identified from the electronic health records at Penn Medicine and invited to learn more about the study online....",Single,No,
23,Results,PMC4055800,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4055800/,"...Participants were recruited from three academic primary care clinics, 2 suburban and 1 hospital-based primary care clinic....",Multiple ,No,
24,Protocol,PMC5935890,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5935890/,"...We recruited participants from 2 suburban and 1 urban primary care clinic within an academic health center in Northern California....Following telephone consent, we used Research Electronic Data Capture to randomize participants to 1 of the 2 groups in a 1:1 ratio, stratified by clinic site, to either the usual care (control group) or the P2E2T2 program....",Multiple ,No,
24,Results,PMC6546207,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6546207/,"...An open-label, non-inferiority, multi-centre, individually randomised controlled trial....Trial sites are in three locations, each in endemic areas for VL....",Multiple ,No,
25,Protocol,PMC3651718,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3651718/,"...The study was designed as a multi-centre, open-label, non-inferiority, randomized controlled trial, using a sequential-step design to evaluate the efficacy and safety of a single dose treatment regimen of intravenous AmBisome® (either 7.5, 10.0, 12.5 or 15.0 mg/kg body weight) compared to the reference multiple dose regimen currently approved in the USA: 3 mg/kg body weight on days 1 to 5, 14, and 21....",Multiple ,No,
25,Results,PMC6323792,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6323792/,"...The trial will be conducted at the Norwegian University of Science and Technology and the St.Olavs Hospital, Trondheim University Hospital....",Multiple ,No,
26,Protocol,PMC5857085,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5857085/,"...The Exercise Training in Pregnancy (ETIP) trial was a single-center, parallel- group RCT of regular exercise training during pregnancy compared to standard maternity care in women with prepregnancy BMI ≥ 28 kg/m2....",Single,No,
26,Results,PMC7038903,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7038903/,"...Fifty community-based addiction treatment programs located in the State of Washington will be assigned to one of two cohorts (Fig. 2) during an index 12-month period: 1) NIATx implementation strategies (Cohort 1), or 2) wait- list control (Cohort 2)....",Single,No,
27,Protocol,PMC6893558,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6893558/,...The remaining 49 agencies were assigned at baseline to either the NIATx strategy (n = 25) or waitlist (n = 24) study arms....,Multiple ,No,
27,Results,PMC8144928,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8144928/,"...Patients were interviewed and treated at the Integrative Medicine outpatient clinic (CHAMP) of the Charité – Universitätsmedizin Berlin, by a medical doctor specialized in homeopathy with 20 years experience in classical homeopathy....",Single,No,
