PairID,Protocol/Results,PMCID,Link,Text,Blinding/masking (check all who were masked),Used full article
1,Protocol,PMC3117715,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3117715/,"...Outcome assessments are done by research staff who were not involved in recruitment or baseline data collection, and who are not deliberately aware of group allocation....",Outcome assessors_blinded,No
1,Results,PMC3698942,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3698942/,...Research staff who were not involved in recruitment or collection of baseline data and who were blind to allocation carried out outcome assessments....,Outcome assessors_blinded,No
2,Protocol,PMC3120681,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3120681/,"...This is an assessor-blinded, parallel-group, multi-centre randomized controlled trial....The central CRC will obtain the patient's name and phone number and will keep the rater blind to the name of the clinic and the treatment the participant is receiving....The central CRC will obtain the patient's name and phone number and will keep the rater blind to the name of the clinic and the treatment the participant is receiving....The central CRC will obtain the patient's name and phone number and will keep the central rater blind to the name of the clinic and the treatment the participant is receiving....",Outcome assessors_blinded,No
2,Results,PMC6040068,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6040068/,"...The Strategic Use of New generation antidepressants for Depression (SUN☺D) is a multi-centre, open-label, assessor-blinded, pragmatic RCT that involved two randomisation steps to examine the first- and second-line treatment strategies for untreated unipolar major depressive episodes....Outcome assessors were blinded throughout. The statisticians conducting the analyses and the writing committee were masked to treatment allocation until they signed the agreed- upon interpretations of the results....For both the step 1 and step 2 randomisations, the primary outcome was depression severity as measured by masked assessors conducting semi-structured interviews using the PHQ-9 at week 9....The writing committee reviewed a statistical report in which the treatments were masked, and developed interpretation of the results and associated conclusions under alternative scenarios for all possible permutations of treatments [42]....",Outcome assessors_blinded | Data analysts_blinded | Patients/participants_unblinded | Intervention providers_unblinded,No
3,Protocol,PMC3355035,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3355035/,,Not reported,No
3,Results,PMC4260077,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4260077/,,Not reported,No
4,Protocol,PMC3418177,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3418177/,,Not reported,No
4,Results,PMC3770709,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3770709/,,Not reported,No
5,Protocol,PMC6069849,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6069849/,"...An evaluator-blinded RCT will be implemented comparing mCIMT with and without AOT on UL function in children with uCP....In order to blind parents and children to group allocation, they will only be informed about the general description of the study design....One blinded, experienced physiotherapist, not involved in the camp activities, will assess UL function at the four different time points. Video-based clinical scales (AHA and Melbourne Assessment 2) will be scored afterwards by another evaluator, blinded to group allocation and time point of the assessment....",Outcome assessors_blinded,Yes
5,Results,PMC6977217,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6977217/,"...An experienced physiotherapist blinded to group allocation (JH) conducted the evaluations at T0 (baseline, 3–4 months before the intervention), T1 (within 4 days before the intervention), T2 (within 4 days after the intervention), and T3 (6 months after the intervention)....A certified rater scored the videos, blinded to group- allocation and time-point evaluation....The test was scored afterwards by a trained physiotherapist blinded to group-allocation and time-point evaluation....",Outcome assessors_blinded,No
6,Protocol,PMC3751729,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3751729/,"...However, to limit the potential bias introduced by lack of blindness, an independent adjudicating committee, blind to treatment allocation, will validate the events that will constitute the primary outcome....To preserve outcome assessor blindness, an independent adjudicating committee (three clinical psychiatrists, with no links to the study and blind to treatment allocation) will anonymously review all deaths and all hazardous acts reported during the 12 months of follow-up by the treating clinicians....The statistical analysis will be masked, i.e. the trial biostatistician will be blinded to the treatment groups until the analysis has been completed....",Outcome assessors_blinded | Data analysts_blinded,No
6,Results,PMC4210495,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4210495/,"...However, to limit the potential for ascertainment bias, an independent adjudicating committee, blind to treatment allocation, validated the events that constituted the primary outcome....",Outcome assessors_blinded,No
7,Protocol,PMC6311046,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6311046/,,Not reported,No
7,Results,PMC6537555,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6537555/,,Not reported,No
8,Protocol,PMC4219009,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4219009/,"...As such, participants enter their data themselves and are blind to their assignment. Following randomization, clinic sites were activated individually, and clinic staff are blinded to the condition. Training for clinic study staff was conducted by condition, and clinic study staff conducting the study are also blind to clinic randomization status. Finally, data analysis to evaluate study outcomes will be blinded to the clinic’s status as an intervention or control intervention arm....",Patients/participants_blinded | Intervention providers_blinded | Data analysts_blinded | Outcome assessors_blinded,No
8,Results,PMC5732507,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5732507/,"...Study staff conducting the assessments and conditions were blind to their clinic randomization status, and both clinic staff and participants were blinded to condition. Data analysis to evaluate study outcomes were blinded to clinic condition....",Intervention providers_blinded | Patients/participants_blinded | Data analysts_blinded | Outcome assessors_blinded,No
9,Protocol,PMC3297520,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3297520/,"...Randomization sequence and allocation will be concealed to all study subjects, research staff, investigators and pharmacists until completion of the study....",Patients/participants_blinded | Intervention providers_blinded | Outcome assessors_blinded | Data analysts_blinded,Yes
9,Results,PMC3524425,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3524425/,"...The randomization codes were hidden from all subjects, research staff, investigators and pharmacists until all the data were analyzed....Statistical analysis was done by a statistician under blinded conditions....",Patients/participants_blinded | Intervention providers_blinded | Outcome assessors_blinded | Data analysts_blinded,No
10,Protocol,PMC3898142,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3898142/,...Statisticians analyzing the data and personnel at the central laboratory measuring HbA1c will be blinded to group assignment....,Outcome assessors_blinded | Data analysts_blinded,No
10,Results,PMC3781531,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3781531/,,Not reported,No
11,Protocol,PMC6112404,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6112404/,"...The randomisation list is available to the data and safety monitoring board, but patients, nurses, physicians and other data collectors are kept blinded to the allocation during the study....",Patients/participants_blinded | Outcome assessors_blinded,No
11,Results,PMC9047644,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9047644/,"...The randomization list was available to the data and safety monitoring board, but patients, nurses, physicians, and other data collectors were kept blinded to the allocation until the last patient completed the study and all analyses were finalized....Three experienced radiographers blinded to clinical data and allocation measured the AVC scores, and analyses of the 3 scans (baseline, year 1, and year 2) were done simultaneously....",Patients/participants_blinded | Outcome assessors_blinded,No
12,Protocol,PMC5153683,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5153683/,,Not reported,No
12,Results,PMC7939944,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7939944/,,Not reported,No
