PairID,Protocol/Results,PMCID,Link,Text,Stopping guidelines (select the best answer),Used full article,CJV Notes
1,Protocol,PMC3117715,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3117715/,,Not reported,No,
1,Results,PMC3698942,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3698942/,,Not reported,No,
2,Protocol,PMC3120681,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3120681/,"...The pilot study will be reviewed by DSMB who will advise the Steering Committee on the feasibility and safety of the study and on appropriateness of continuing the study. The final decision about whether to continue the study will be made by the Steering Committee....### Stopping Rules For Participants & Trial Sites #### Deviation from protocol treatment The following cases will be considered deviation from the trial protocol....1) Prohibited concurrent treatments were administered in Step I or II 2) The participant was not randomised within the pre-specified time frame for week 3. 3) The participant cannot take any sertraline in Step I. 4) The participant switches to manic/hypomanic/mixed in Step I. 5) The participant turns out to suffer from bipolar disorder, schizophrenia or dementia in Step II. The treating physician is to judge whether 1) through 5) has occurred. If so judged, the physician should immediately notify the site CRC, who will notify the central office. If 1) through 4) occurs in Step I, the randomization for step II will not be made but assessment will continue. If 1) or 5) occurs in Step II, the patient will be analysed as randomized. #### Stopping intervention If the participant meets any one of the following conditions, the trial physician will stop the protocol treatment at his/her discretion....1) The participant wishes to stop the protocol treatment. 2) The trial physician judges that it is difficult to continue the protocol treatment because of emergence of serious adverse events (SAE) as defined below. 3) The trial physician judges that the risk outweighs benefit in continuing the protocol treatment even when no SAE is reported. 4) The participant becomes pregnant and the trial physician judges that the risk outweighs benefit in continuing the protocol treatment. 5) The trial physician judges that it is inappropriate to continue the protocol treatment for any other reason. #### Stopping assessment If the participant meets any one of the following conditions, he/she will never be contacted for assessments. 1) The participant withdraws consent to receiving protocol assessments, regardless of whether he/she is continuing the protocol treatment. #### Dropping trial sites If the trial site meets any of the following conditions, it will be judged ""dropout"" and will no longer be able to recruit patients. However, the patients who have already entered the study will be followed-up. 1) The principal trial physician withdraws his consent. 2) No study entry was made within 6 months. 3) The Steering Committee judges that it is inappropriate to continue recruitment at this site....#### Data monitoring and site audit ##### Data monitoring The data centre will provide the following data monitoring report to the Steering Committee and the DSMB every six months. The chair of the DSMB will assess the data monitoring report, and if he/she finds an ethical problem in the continuation of the trial from the viewpoints of safety or effectiveness, he/she will convene the DSMB and advise the principal investigator to change or stop the study. The data monitoring report will include: 1) Progress of the trial regarding trial entry and follow-up 2) Implementation of assessments (allocation will be masked) 3) Incidence of serious adverse events (allocation will be masked) 4) Any other problems....### Stopping Rule For Study The study will be discontinued by the Steering Committee (or the principal investigator in the case of an emergency) upon advice from the DSMB if any of the following conditions is met. 1) The causal relationship between any of the protocol treatments and serious adverse events including death is established by this study or by any other study. 2) Provision of study drugs becomes impossible for any reason....##### Interim analyses We will not perform interim analyses to examine the study hypotheses for two reasons. First, we are not expecting a huge effect size for the planned comparisons and second, it is theoretically likely that trials stopped early for benefit may overestimate the true effect size. However, we will examine the following aspects in order to ascertain the feasibility of the study without revealing the treatment allocation. 1) Number of entered subjects per trial site to calculate the number of trial sites and the time necessary to complete the intended study 2) The intra-cluster correlation coefficient will be calculated in order to make sure that it is not very different from the one assumed in this protocol. We will re-calculate the sample size if necessary. The analyses for the pilot study will be given in detail in the ""Statistical Analysis Plan.""...#### Data and Safety Monitoring Board: DSMB DSMB will consist of three professionals in clinical trials and in psychiatry, who are not involved in this trial: Dr Teruhiko Higuchi (Psychiatrist, National Centre for Neurology and Psychiatry), Professor Yoshio Hirayasu (Psychiatrist, Yokohama City University) and Akiko Kada (Biostatistician, National Cerebral and Cardiovascular Center). The purpose of DSMB is to check the data monitoring reports prepared by the data centre and make recommendations, where necessary, to the principal investigator....",Reported no stopping guidelines used  ,No,
2,Results,PMC6040068,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6040068/,...An independent data monitoring committee oversaw the trial....,Not Reported  ,Yes,
3,Protocol,PMC3355035,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3355035/,,Not reported,No,
3,Results,PMC4260077,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4260077/,,Not reported,No,
4,Protocol,PMC3418177,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3418177/,,Not reported,No,
4,Results,PMC3770709,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3770709/,,Not reported,No,
5,Protocol,PMC6069849,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6069849/,,Not reported,No,
5,Results,PMC6977217,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6977217/,,Not reported,No,
6,Protocol,PMC3751729,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3751729/,...No interim analysis is planned for this trial....,Reported no stopping guidelines used  ,No,
6,Results,PMC4210495,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4210495/,,Not reported,No,
7,Protocol,PMC6311046,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6311046/,...A Data Monitoring Committee has not been established....,Not Reported  ,Yes,
7,Results,PMC6537555,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6537555/,...The sponsor deemed that a data monitoring committee was not required....,Not Reported  ,Yes,
8,Protocol,PMC4219009,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4219009/,,Not reported,No,
8,Results,PMC5732507,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5732507/,,Not reported,No,
9,Protocol,PMC3297520,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3297520/,,Not reported,No,
9,Results,PMC3524425,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3524425/,,Not reported,No,
10,Protocol,PMC3898142,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3898142/,,Not reported,No,
10,Results,PMC3781531,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3781531/,,Not reported,No,
11,Protocol,PMC6112404,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6112404/,"...One member of the the data and safety monitoring board (HM) and a statistician (OG) will evaluate the available primary endpoint 1 year data of approximately 100 patients around 1 July 2019 in order to assess whether the treatment period should be prolonged by 6 months....The data and safety monitoring board (DSMB) consists of the following experts: HM (Department of Cardiology, OUH), Christian Torp-Pedersen (Department of Cardiology and Clinical Epidemiology, Aalborg University) and Lars Køber (Department of Cardiology, Rigshospitalet), who all have large experience with clinical randomised trials....An independent DSMB is established to perform ongoing safety surveillance. None of the DSMB members are directly or indirectly involved in the coordination, execution or analysis of the study....If there is a reason for concern, the DSMB can advise to interrupt the study for further analysis, and the study can be terminated prematurely if the number of severe adverse events is significantly higher in the treatment group versus the placebo group. This will be discussed in a meeting with the investigators and DSMB....",Reported stopping guidelines used ,No,
11,Results,PMC9047644,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9047644/,,Not reported,No,
12,Protocol,PMC5153683,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5153683/,,Not reported,No,
12,Results,PMC7939944,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7939944/,,Not reported,No,
13,Protocol,PMC4025413,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4025413/,"...The weighted inverse normal combination method and an O'Brien-Fleming-design will be used with a binding stopping for futility....An interim analysis was conducted at 50% recruitment (90 patients enrolled, 56 in-study, 34 dropout)....",Reported stopping guidelines used ,No,
13,Results,PMC8710519,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8710519/,"...We report herein on a pre-specified substudy of the EST trial which was only conducted prior to interim analysis of the main trial (10)....One-hundred percentage of the data was externally monitored by the Interdisciplinary Center for Clinical Studies at the University Medical Center Mainz, which was also responsible for aspects of patient safety and compliance monitoring, auditing, regulatory....",Not Reported  ,Yes,
14,Protocol,PMC4446829,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4446829/,,Not reported,No,
14,Results,PMC5741924,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5741924/,,Not reported,No,
15,Protocol,PMC3973868,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3973868/,,Not reported,No,
15,Results,PMC8296136,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8296136/,,Not reported,No,
16,Protocol,PMC5379660,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5379660/,,Not reported,No,
16,Results,PMC9380327,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9380327/,,Not reported,No,
17,Protocol,PMC3481366,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3481366/,"...Nevertheless, data on vascular occlusive events and seizures will be collected as secondary outcomes and will be presented to the independent Data Monitoring Committee (DMC) for unblinded review....The trial will routinely collect data on adverse events which may theoretically be associated with this product and the condition under investigation, and these will be reviewed by the independent DMC....The trial may be terminated early by the Trial Steering Committee (TSC). The independent DMC may give advice/recommendation for the early termination of the trial but the TSC is responsible for the final decision....The DMC has the responsibility for deciding whether, while randomization is in progress, the unblinded results (or the unblinded results for a particular subgroup), should be revealed to the TSC. The DMC Charter states that they will do this if, and only if, the following two conditions are satisfied: (1) the results provide proof beyond reasonable doubt that treatment is on balance either definitely harmful or definitely favourable for all, or for a particular category of participants in terms of the major outcome; and (2) the results, if revealed, would be expected to substantially change the prescribing patterns of clinicians who are already familiar with any other trial results that exist. Exact criteria for “proof beyond reasonable doubt” are not, and cannot be, specified by a purely mathematical stopping rule, but they are strongly influenced by such rules. The DMC Charter is in agreement with the Peto-Haybittle stopping rule whereby an interim analysis of a major endpoint would generally need to involve a difference between treatment and control of at least three standard errors to justify premature disclosure [28,29]. An interim subgroup analysis would, of course, have to be even more extreme to justify disclosure. This rule has the advantage that the exact number and timing of interim analyses need not be pre-specified. In summary, the stopping rules require extreme differences to justify premature disclosure, and involve an appropriate combination of mathematical stopping rules and scientific judgment....",Reported stopping guidelines used ,No,
17,Results,PMC6853170,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6853170/,"...The data monitoring committee was not consulted about the change....Because the trial was assessed as low risk (tranexamic acid is widely used and the trial was considered to have a low risk of bias), we used central trial monitoring and central statistical monitoring in conjunction with investigator training, meetings, and written guidance....The safety of participants was overseen by an independent data monitoring committee, which reviewed four unblinded interim analyses....Data Monitoring and Ethics Committee—Michael J Clarke (chair), Samuel C Ohaegbulam, Anthony Rodgers, and Tony Brady (independent statistician)....",Not Reported  ,Yes,
18,Protocol,PMC4570710,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4570710/,...No interim analyses have been conducted....,Reported no stopping guidelines used  ,No,
18,Results,PMC5466913,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5466913/,,Not reported,No,
19,Protocol,PMC5859815,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5859815/,,Not reported,No,
19,Results,PMC7877039,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7877039/,,Not reported,No,
20,Protocol,PMC4710982,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4710982/,"...Investigators propose to conduct one interim analysis using the O’Brien Fleming rule when 50 % per protocol subject accrual has been achieved. Termination will be done if p < 0.01 is observed with respect to the null hypothesis of inferiority....An independent Data Safety Monitoring Board (DSMB) has been formed to monitor safety of study participants, providing study oversight by un-blinded monitoring of study results to ensure safety of participants. If a safety signal is observed, the DSMB may stop this study prior to full recruitment....",Reported stopping guidelines used ,No,
