PairID,Protocol/Results,PMCID,Link,Text,Data availability,Used full article
1,Protocol,PMC3117715,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3117715/,"...#### Trial documents The documents to be completed, and by whom, are recorded in table 1....",Unclear,No
1,Results,PMC3698942,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3698942/,...Data sharing: No additional data available....,Not publicly available,No
2,Protocol,PMC3120681,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3120681/,,Not reported,No
2,Results,PMC6040068,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6040068/,"...### Availability of data and materials Sharing of identifiable, individual-level data is prohibited by Japanese law....",Publicly available,Yes
3,Protocol,PMC3355035,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3355035/,,Not reported,No
3,Results,PMC4260077,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4260077/,,Not reported,No
4,Protocol,PMC3418177,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3418177/,,Not reported,No
4,Results,PMC3770709,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3770709/,,Not reported,No
5,Protocol,PMC6069849,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6069849/,"...LM and CSM will be the investigators with access to the personal data and will be responsible for its anonymization as well as for ensuring data quality (double data entering, data values range checks, outliers detection). The final trial dataset will be accessible by LM, CSM, KK and HF....",Not publicly available,No
5,Results,PMC6977217,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6977217/,,Not reported,No
6,Protocol,PMC3751729,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3751729/,,Not reported,No
6,Results,PMC4210495,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4210495/,,Not reported,No
7,Protocol,PMC6311046,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6311046/,...Ownership of the data arising from this study resides with the study team....### Availability of data and materials The datasets generated and/or analysed during the current study are available from the corresponding author on reasonable request....,Not publicly available,No
7,Results,PMC6537555,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6537555/,...## Availability of Data and Material The datasets generated and/or analysed during the current study are available from the corresponding author on reasonable request....,Not publicly available,No
8,Protocol,PMC4219009,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4219009/,,Not reported,No
8,Results,PMC5732507,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5732507/,...### Availability of data and materials The data for the current study will not be shared publicly as participants were informed at the time of providing consent that only researchers involved in the project would have access to the information they provided....,Not publicly available,No
9,Protocol,PMC3297520,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3297520/,,Not reported,No
9,Results,PMC3524425,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3524425/,,Not reported,No
10,Protocol,PMC3898142,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3898142/,,Not reported,No
10,Results,PMC3781531,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3781531/,,Not reported,No
11,Protocol,PMC6112404,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6112404/,"...During the study, only the independent data and safety monitoring board will have access to the complete database including the randomisation list....Data sharing statement: Positive as well as negative findings will be reported via conference presentations and peer-reviewed publications. All the data will be available upon request.",Not publicly available,No
11,Results,PMC9047644,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9047644/,...The data that support the findings of this study are available from the corresponding author on reasonable request....,Not publicly available,No
12,Protocol,PMC5153683,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5153683/,...### Availability of data and materials The datasets and materials used and/or analyzed during the current study will be available from the first author (DHG Sr.) on reasonable request....,Not publicly available,No
12,Results,PMC7939944,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7939944/,,Not reported,No
13,Protocol,PMC4025413,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4025413/,,Not reported,No
13,Results,PMC8710519,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8710519/,"...## Data Availability Statement The original contributions presented in the study are included in the article/Supplementary Material, further inquiries can be directed to the corresponding author/s....",Not publicly available,No
14,Protocol,PMC4446829,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4446829/,,Not reported,No
14,Results,PMC5741924,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5741924/,...### Availability of data and materials The dataset supporting of this article are available upon request to the corresponding author....,Not publicly available,No
15,Protocol,PMC3973868,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3973868/,,Not reported,No
15,Results,PMC8296136,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8296136/,...## Data Availability Statement The data presented in this study are available on request from the corresponding author. The data are not publicly available due to specific requirements from the clinical research ethics committee that reviewed and approved this investigation....,Not publicly available,No
16,Protocol,PMC5379660,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5379660/,"...Data from this study will be anonymised and stored in password protected computer systems accessible only by the members of the research team, in order to guarantee confidentiality to participants....Furthermore, only research team members will have access to participants’ personal data during the project, while data will be analysed locally....### Availability of data and materials Not applicable....",Not publicly available,No
16,Results,PMC9380327,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9380327/,...## Availability of data and materials The datasets generated and/or analyzed during the current study are not publicly available due to ethical approval restrictions but are available from the corresponding author on reasonable request....,Not publicly available,No
17,Protocol,PMC3481366,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3481366/,"...Investigators/institutions are required to provide direct access to source data/documents for trial-related monitoring, audits, ethics committee review and regulatory inspection....An independent statistician will be appointed to provide the analysis service required by the DMC....Anonymous data for this trial will be made available for free use at http://freebird.lshtm.ac.uk.b...",Publicly available,No
17,Results,PMC6853170,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6853170/,"...For freeBIRD see http://freebird.Lshtm.ac.uk...## Data sharing Following publication of the primary and secondary analyses detailed in this statistical analysis plan, individual de-identified patient data, including a data dictionary, will be made available via our data sharing portal, The Free Bank of Injury and Emergency Research Data (freeBIRD) website indefinitely, which will allow for maximum utilisation of the data to improve patient care and advance medical knowledge....",Publicly available,No
18,Protocol,PMC4570710,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4570710/,,Not reported,No
18,Results,PMC5466913,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5466913/,,Not reported,No
19,Protocol,PMC5859815,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5859815/,...Data sharing statement: The full protocol is available from the corresponding author upon reasonable request....,Not publicly available,No
19,Results,PMC7877039,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7877039/,"...## Data availability and materials The datasets generated and/or analysed during the current study are available in the Dipòsit Digital de la Universitat de Barcelona repository, http://diposit.ub.edu/dspace/handle/2445/101776....",Publicly available,No
20,Protocol,PMC4710982,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4710982/,...Access to data is restrictive as to maximize security and confidentiality....Data will available on public domain 2 years after the publication of the main manuscripts. Processes will be developed to facilitate data sharing for scientific utilization in a collaborative manner....,Not publicly available,No
20,Results,PMC7244232,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7244232/,,Not reported,No
21,Protocol,PMC3406972,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3406972/,,Not reported,No
21,Results,PMC3794862,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3794862/,,Not reported,No
22,Protocol,PMC7745514,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7745514/,...Data collection is fully anonymised and only accessed by authorised study staff....,Not publicly available,No
22,Results,PMC8852666,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8852666/,"...## Data availability statement Data are available in a public, open access repository. Dataset is available from the Dryad repository, DOI:[10.5061/dryad.gf1vhhmm5].https://doi.org/10.5061/dryad.gf1vhhmm5...",Publicly available,No
23,Protocol,PMC3345610,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3345610/,,Not reported,No
23,Results,PMC4055800,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4055800/,,Not reported,No
24,Protocol,PMC5935890,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5935890/,,Not reported,No
24,Results,PMC6546207,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6546207/,...## Data Availability All relevant data along with codebooks are available from the Open Science Framework repository at https://osf.io/n6u47/?view_only=2a095050edfa43a7812510a11cd8dbc5.,Publicly available,No
25,Protocol,PMC3651718,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3651718/,,Not reported,No
25,Results,PMC6323792,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6323792/,...### Availability of data and materials The datasets used and analyzed during the current study are available from the corresponding author on reasonable request....,Not publicly available,No
