PairID,Protocol/Results,PMCID,Link,Text,Study protocol (with or without SAP) availability,Used full article
1,Protocol,PMC3117715,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3117715/,"...#### Trial documents The documents to be completed, and by whom, are recorded in table 1....",Not applicable,Yes
1,Results,PMC3698942,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3698942/,,Not reported,No
2,Protocol,PMC3120681,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3120681/,,Not reported,No
2,Results,PMC6040068,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6040068/,"...The protocol provides additional details of the eligibility criteria [32]....The study protocol, its amendment and the statistical analysis plan have been published elsewhere [32, 33]....Our published protocol [32] lists the several minor changes in the details since the original protocol....### Availability of data and materials Sharing of identifiable, individual-level data is prohibited by Japanese law....",Publicly available,No
3,Protocol,PMC3355035,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3355035/,,Not reported,No
3,Results,PMC4260077,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4260077/,...The protocol of this study was described in a previously published manuscript [24]....,Publicly available,No
4,Protocol,PMC3418177,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3418177/,,Not reported,No
4,Results,PMC3770709,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3770709/,...The protocol for this trial and supporting CONSORT checklist are available as supporting information; see Checklist S1 and Protocol S1....The power calculation is described in the study protocol as published previously [34]....Trial Protocol....,Publicly available,No
5,Protocol,PMC6069849,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6069849/,,Not reported,No
5,Results,PMC6977217,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6977217/,"...This prospective randomized with blinded evaluation trial has been fully described elsewhere,16 and will be briefly summarized here....",Publicly available,No
6,Protocol,PMC3751729,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3751729/,,Not reported,No
6,Results,PMC4210495,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4210495/,"...As reported in the study protocol [5], we initially planned to include more than 200 participants, but we managed to randomise 56 patients only....A detailed description of the study methods has already been published [5]....",Publicly available,No
7,Protocol,PMC6311046,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6311046/,...### Availability of data and materials The datasets generated and/or analysed during the current study are available from the corresponding author on reasonable request....,Not applicable,No
7,Results,PMC6537555,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6537555/,"...This trial was registered at ClinicalTrials.gov (trial registration number  NCT02783898), and the protocol published in Trials [26]....## Availability of Data and Material The datasets generated and/or analysed during the current study are available from the corresponding author on reasonable request....",Publicly available,No
8,Protocol,PMC4219009,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4219009/,,Not reported,No
8,Results,PMC5732507,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5732507/,...### Availability of data and materials The data for the current study will not be shared publicly as participants were informed at the time of providing consent that only researchers involved in the project would have access to the information they provided....,Not reported,No
9,Protocol,PMC3297520,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3297520/,,Not reported,No
9,Results,PMC3524425,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3524425/,,Not reported,No
10,Protocol,PMC3898142,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3898142/,,Not reported,No
10,Results,PMC3781531,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3781531/,"...This was a 12-month, prospective, multicenter, open-label, parallel-group, randomized, controlled clinical trial; the full protocol was previously reported (16)....",Publicly available,No
11,Protocol,PMC6112404,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6112404/,,Not reported,No
11,Results,PMC9047644,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9047644/,...The trial design has been reported previously.11...,Publicly available,No
12,Protocol,PMC5153683,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5153683/,...### Availability of data and materials...,Not applicable,No
12,Results,PMC7939944,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7939944/,"...The study design, recruitment, eligibility, screening process, and addiction-related services incorporated into A-CHESS have been described in the RCT’s published protocol [21]....",Publicly available,No
13,Protocol,PMC4025413,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4025413/,,Not reported,No
13,Results,PMC8710519,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8710519/,"...The protocol of the EST, a three-arms, parallel design, randomized, investigator-blinded trial, is published in (10). The main results of the EST study are published in (9); the current study was limited to the cohort treated following the original study protocol [see (10) for description]....",Publicly available,No
14,Protocol,PMC4446829,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4446829/,,Not reported,No
14,Results,PMC5741924,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5741924/,"...Details on the trial design, recruitment and protocol can be found elsewhere [14]....### Availability of data and materials The dataset supporting of this article are available upon request to the corresponding author....",Publicly available,No
15,Protocol,PMC3973868,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3973868/,,Not reported,No
15,Results,PMC8296136,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8296136/,,Not reported,No
16,Protocol,PMC5379660,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5379660/,...### Availability of data and materials Not applicable....,Not applicable,No
16,Results,PMC9380327,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9380327/,"...The full protocol, alongside sample size calculations, has been published previously [22]....## Availability of data and materials The datasets generated and/or analyzed during the current study are not publicly available due to ethical approval restrictions but are available from the corresponding author on reasonable request....",Publicly available,No
17,Protocol,PMC3481366,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3481366/,,Not reported,No
17,Results,PMC6853170,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6853170/,"...We published a statistical analysis plan before unblinding.11...For the trial protocol see http://www.txacentral.org/...The trial protocol, statistical analysis plan, and trial publications will be freely available online....",Publicly available,No
18,Protocol,PMC4570710,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4570710/,,Not reported,No
18,Results,PMC5466913,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5466913/,"...A more detailed description of the methods is provided in the study protocol.14...Conducting research with children always requires careful ethical reflection, as discussed in the study protocol.14...",Publicly available,No
19,Protocol,PMC5859815,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5859815/,...Data sharing statement: The full protocol is available from the corresponding author upon reasonable request....,Not publicly available,No
19,Results,PMC7877039,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7877039/,"...The overall study concept, setting, and methods of this open-label, controlled, parallel-arm, superiority trial have been previously published [35]....",Publicly available,No
20,Protocol,PMC4710982,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4710982/,,Not reported,No
20,Results,PMC7244232,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7244232/,...Initial version of protocol is published at https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4710982/ and subsequent versions are available at NEJM....,Publicly available,No
21,Protocol,PMC3406972,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3406972/,,Not reported,No
