PairID,Protocol/Results,PMCID,Link,Text,Allocation ratio (select the best answer),Used full article,Note
1,Protocol,PMC3117715,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3117715/,"...The randomisation sequence is generated using a computer random number generator, in a 1:1 ratio, and a permuted block design with varying block sizes up to 6, stratified by prior care home residence....",Equal allocation to all groups,No,
1,Results,PMC3698942,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3698942/,"...Potentially suitable patients were entered on a computerised screening log and, if a bed was available on the specialist unit, randomised 1:1 between the unit and standard care in a permuted block design, stratified for previous residence in a care hom",Equal allocation to all groups,No,
2,Protocol,PMC3120681,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3120681/,"...Eligible participants will be allocated 1:1 to the sertraline 50 mg/d arm and to the sertraline 100 mg/d arm....The patients scoring 5 or more on PHQ9 at week 3 will be allocated 1:1:1 to the continue-sertraline arm, the mirtazapine augmentation arm, a",Equal allocation to all groups,No,
2,Results,PMC6040068,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6040068/,"...In step 2, participants who had not reached remission, defined as scoring 4 or less on the Patient Health Questionnaire (PHQ-9) [34] at week 3, were randomised 1:1:1 through the web-based central computer system to continue with sertraline, to combine ",Equal allocation to all groups,No,
3,Protocol,PMC3355035,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3355035/,,Not reported,No,
3,Results,PMC4260077,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4260077/,,Not reported,No,
4,Protocol,PMC3418177,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3418177/,"...As shown in Figure 1, severely fatigued patients will be randomized to either the intervention group (75%) or the control group (25%)....",Other,No,
4,Results,PMC3770709,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3770709/,...Sixty-four fatigued patients consented and were randomly assigned at a ratio of 3:1 to either the intervention condition (n=50) or the waiting list condition (n=14)....,Other,No,
5,Protocol,PMC6069849,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6069849/,,Not reported,No,
5,Results,PMC6977217,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6977217/,"...Sample size estimation for the primary outcome measure was conducted prior to study initiation, resulting in a total of 21 children in each group (ES = 0.9, alpha-level = 0.05, statistical power = 0.80), as described in more detailed in.16...",Equal allocation to all groups,No,
6,Protocol,PMC3751729,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3751729/,...Patients will be randomly assigned to one of the two treatment groups with an equal probability of assignment to each treatment (allocation ratio 1:1)....,Equal allocation to all groups,No,
6,Results,PMC4210495,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4210495/,...Patients were randomly assigned to one of the two treatment groups with an equal probability of assignment to each treatment (allocation ratio 1:1)....,Equal allocation to all groups,No,
7,Protocol,PMC6311046,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6311046/,...Participants will be equally distributed between the two study arms with 121 participants in each arm....,Equal allocation to all groups,No,
7,Results,PMC6537555,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6537555/,...Participants were equally distributed between the two study groups....,Equal allocation to all groups,No,
8,Protocol,PMC4219009,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4219009/,"...The twelve CHCs were matched in a 1:1 ratio according to patient census and average ANC volume, and one clinic in each pair was randomly assigned to the experimental or control condition using a computer program written by the data manager....",Equal allocation to all groups,No,
8,Results,PMC5732507,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5732507/,"...The twelve CHCs were matched in a 1:1 ratio according to patient census, average ANC volume, and MTCT rates; one clinic in each pair was randomly assigned to the experimental or control condition using a computer program written by the data manager....",Equal allocation to all groups,No,
9,Protocol,PMC3297520,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3297520/,"...The allocation ratio will be 1:1 in blocks of 2....Therefore, we had designed a preliminary test using total 100 participants (50:50)....",Equal allocation to all groups,No,
9,Results,PMC3524425,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3524425/,"...The enrolled subjects were scheduled for the first visit, and subjects were randomly assigned to one of two groups, the concentrated red ginseng (n = 50) or placebo (n = 50) group....",Equal allocation to all groups,No,
10,Protocol,PMC3898142,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3898142/,,Not reported,No,
10,Results,PMC3781531,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3781531/,...Allocation ratio was 1:1....,Equal allocation to all groups,No,
11,Protocol,PMC6112404,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6112404/,"...In AVADEC, half of the patients are randomised to supplementation with MK-7 (720 µg/day) including the recommended daily dose of vitamin D (25 µg/day) and the other half to placebo treatment (no active treatment)....We are planning a study of a conti",Equal allocation to all groups,No,
11,Results,PMC9047644,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9047644/,...Patients were randomly assigned in a 1:1 ratio to either daily oral supplementation with MK-7 (720 µg/d) and the recommended daily dose of vitamin D (25 µg/d) or placebo for 24 months....,Equal allocation to all groups,No,
12,Protocol,PMC5153683,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5153683/,"...The project director will use a computer-generated allocation sequence to randomize participants in a 1:1 ratio to MAT + A-CHESS or MAT alone, stratifying on gender and site and balancing on age, level of care (intensive outpatient treatment, day treat",Equal allocation to all groups,No,
12,Results,PMC7939944,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7939944/,...Individuals with diagnosed OUD of at least moderate severity who were receiving addiction treatment at 3 centers in Massachusetts and Wisconsin were randomly assigned in a 1:1 ratio to receive either MAT alone (control arm) or MAT+A-CHESS (experimental,Equal allocation to all groups,No,
13,Protocol,PMC4025413,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4025413/,"...Randomisation will be carried out in a 1:1:1 ratio to prasugrel, ticagrelor or clopidogrel using block randomisation without stratification by means of an SAS program....",Equal allocation to all groups,No,
13,Results,PMC8710519,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8710519/,,Not reported,No,
14,Protocol,PMC4446829,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4446829/,"...Each block will therefore result in the allocation of three women for the intervention and six women for the control group, ensuring a recruitment balance of 1:2 throughout the study....The intervention:control ratio will be 1:2, therefore 426 will be ",Other,No,
14,Results,PMC5741924,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5741924/,"...Each block resulted in the allocation of three women for the intervention and six women for the control group, ensuring a recruitment balance of 1:2 throughout the study. We used 2 controls to 1 case in order to increase precision and statistical power",Other,No,
15,Protocol,PMC3973868,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3973868/,,Not reported,No,
15,Results,PMC8296136,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8296136/,,Not reported,No,
16,Protocol,PMC5379660,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5379660/,,Not reported,No,
16,Results,PMC9380327,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9380327/,"...This was a single-center, pragmatic three-arm randomized (1:1:1) controlled trial, which recruited adult smokers (≥ 10 cigarettes/day), who were willing to attempt to stop smoking with support (n = 248)....",Equal allocation to all groups,No,
17,Protocol,PMC3481366,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3481366/,,Not reported,No,
17,Results,PMC6853170,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6853170/,...We randomly assigned (1:1) patients to receive tranexamic acid (loading dose 1 g over 10 min then infusion of 1 g over 8 h) or matching placebo....,Equal allocation to all groups,No,
18,Protocol,PMC4570710,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4570710/,"...Infants were randomly allocated into one of three groups in proportions of 1:1:1, following randomization lists performed by an independent center for clinical research and development (R&D, Region Skane)....",Equal allocation to all groups,No,
18,Results,PMC5466913,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5466913/,"...Participants were randomly allocated into one of the three groups in a 1:1:1 ratio, according to randomisation lists generated by R&D, Region Skane....",Equal allocation to all groups,No,
19,Protocol,PMC5859815,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5859815/,...Clusters were then randomised 1:1 into the two study arms....,Equal allocation to all groups,No,
19,Results,PMC7877039,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7877039/,"...The 168 clusters were stratified into three groups according to the number of households (< 69 = small; 69–125 = medium; > 125 = large), and randomized 1:1 into one of the two arms, IRS and no-IRS, by drawing lots during a public community-engagement",Equal allocation to all groups,No,
20,Protocol,PMC4710982,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4710982/,...This is a randomized double blinded placebo-controlled non-inferiority trial with parallel assignment and treatment allocation ratio of 1:1....,Equal allocation to all groups,No,
20,Results,PMC7244232,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7244232/,"...Children were randomly allocated (1:1) to groups receiving either syrup Amoxicillin in two divided doses for three days, using IMCI recommended weight bands, or to placebo....",Equal allocation to all groups,No,
21,Protocol,PMC3406972,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3406972/,"...This resulted in 52 total CHOs evenly allocated overall (26 vs. 26), within each of the six strata with an even number of CHOs, and in a ratio of 4:3 and 3:4 in the two strata with an odd number of CHOs (Table 1)....",Equal allocation to all groups,No,
21,Results,PMC3794862,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3794862/,...The 52 CHOs were randomly allocated equally to either the intervention (oxytocin) or the control group; this allocation was stratified by both district and distance (≤10 km or >10 km) to emergency obstetric care....,Equal allocation to all groups,No,
22,Protocol,PMC7745514,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7745514/,"...In this study, a 1:1 open-label randomisation is used to assign participants to the intervention group (IG) or the CG....",Equal allocation to all groups,No,
22,Results,PMC8852666,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8852666/,"...A prospective, open-label, parallel 1:1 randomised controlled trial (RCT), unblinded for outcome evaluation, structured on the basis of the Consolidated Standards of Reporting Trials (CONSORT),47 was conducted in Dakahlia Governorate, Egypt48 from Dece",Equal allocation to all groups,No,
