PairID,Protocol/Results,PMCID,Link,Text,Allocation sequence generation (select the best answer),Allocation concealment (select the best answer),Used full article
1,Protocol,PMC3117715,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3117715/,"...MMHU staff record details on a computerised screening log. An algorithm allocates patients either to MMHU or a standard care ward, some at random, others not Figure1....Research staff monitor the list of randomly allocated patients, and, as soon as they can be contacted, invite them, and a carer, to take part in the trial....The randomisation sequence is concealed from clinical staff who use the computer to allocate patients....As soon as possible following ward allocation, research staff identify patients who have been randomised....Dan Simpkins of the Nottingham Clinical Trial Unit devised the allocation algorithm and internet-based randomisation programme....",Described‚ truly random ,Concealed,No
1,Results,PMC3698942,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3698942/,"...The randomisation sequence was concealed from clinical staff who allocated patients, but as recruitment took place after randomisation, research staff who collected baseline data were not blind to allocation....",Described‚ truly random ,Concealed,Yes
2,Protocol,PMC3120681,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3120681/,"...The trial physician and/or site CRC will seek informed consent from a participant at week 1, i.e. 3-16 days after starting sertraline 25 mg/d....After obtaining the written informed consent, the trial physician or the site CRC makes a face-to-face interview or the central CRC or the central rater will make a telephone interview to assess...This cluster randomization will be made by the EDC system....If the EDC server is down and/or the trial site cannot use the EDC system for various reasons, the randomisation can be done by calling up the central CRC or the data centre....",Described‚ truly random ,Concealed,No
2,Results,PMC6040068,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6040068/,"...In step 2, participants who had not reached remission, defined as scoring 4 or less on the Patient Health Questionnaire (PHQ-9) [34] at week 3, were randomised 1:1:1 through the web-based central computer system to continue with sertraline, to combine sertraline with mirtazapine or to switch to mirtazapine....",Described‚ truly random ,Concealed,No
3,Protocol,PMC3355035,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3355035/,"...During a regularly scheduled safety training session, the study nurse will describe the study to participants who are told that it is voluntary....The instruction sheet will give them information for logging on to the Tobacco Tactics website or calling the 1-800-QUIT-NOW telephone quit line....",Not reported ,Not reported,No
3,Results,PMC4260077,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4260077/,,Not reported,Not reported,No
4,Protocol,PMC3418177,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3418177/,"...If the patients agree to be further informed about the study, the researcher will inform the patients extensively about the study and will ask for participation....",Not reported ,Not reported,No
4,Results,PMC3770709,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3770709/,"...Random assignment was done by means of a sequence of labeled cards contained in sealed, numbered envelopes prepared by a statistical adviser. The envelopes were opened by the psychologists in the presence of the patient....",Described‚ truly random ,Concealed,No
5,Protocol,PMC6069849,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6069849/,"...A permuted block design of two will then be used, created by a computer random number generator to randomize the participants to the mCIMT+AOT or mCIMT alone group within each stratum. Randomization will be performed by an independent person who is not involved in the selection procedure and cannot access the clinical information of the children....",Described‚ truly random ,Concealed,No
5,Results,PMC6977217,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6977217/,...Randomization was performed by a researcher (HF) independent of the recruitment and evaluation sessions....,Not reported ,Concealed,No
6,Protocol,PMC3751729,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3751729/,"...The trial biostatistician will prepare the sequence of treatments randomly permuted in blocks of unequal size....Recruiting physicians will contact an administrator at the World Health Organisation Collaborative Centre for Research and Training in Mental Health and Service Evaluation of the University of Verona who will access a computerised system that will provide, after information on the enrolled participant is entered and inclusion criteria are verified, the patient's identification number and the allocated treatment....",Described‚ truly random ,Concealed,No
6,Results,PMC4210495,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4210495/,...A centralised randomisation procedure was employed to preserve allocation concealment and stratified by presence or absence of Axis II diagnosis....,Described‚ truly random ,Concealed,No
