PMID,CONSORT_item,is_reported
122406,3a,N
122406,3b,N
122406,4a,N
122406,4b,N
122406,5,Y
122406,6a,Y
122406,6b,N
122406,7a,N
122406,7b,N
122406,8a,N
122406,8b,N
122406,9,N
122406,10,N
122406,11a,N
122406,11b,N
122406,12a,Y
122406,12b,N
127655,3a,N
127655,3b,N
127655,4a,Y
127655,4b,N
127655,5,Y
127655,6a,Y
127655,6b,N
127655,7a,N
127655,7b,N
127655,8a,N
127655,8b,N
127655,9,N
127655,10,N
127655,11a,N
127655,11b,N
127655,12a,N
127655,12b,N
1211536,3a,N
1211536,3b,N
1211536,4a,N
1211536,4b,N
1211536,5,Y
1211536,6a,Y
1211536,6b,N
1211536,7a,N
1211536,7b,N
1211536,8a,N
1211536,8b,N
1211536,9,N
1211536,10,N
1211536,11a,N
1211536,11b,N
1211536,12a,N
1211536,12b,N
1233072,3a,N
1233072,3b,N
1233072,4a,Y
1233072,4b,N
1233072,5,Y
1233072,6a,N
1233072,6b,N
1233072,7a,N
1233072,7b,N
1233072,8a,N
1233072,8b,N
1233072,9,N
1233072,10,N
1233072,11a,N
1233072,11b,N
1233072,12a,Y
1233072,12b,N
1234484,3a,N
1234484,3b,N
1234484,4a,Y
1234484,4b,N
1234484,5,Y
1234484,6a,Y
1234484,6b,N
1234484,7a,N
1234484,7b,N
1234484,8a,N
1234484,8b,N
1234484,9,N
1234484,10,N
1234484,11a,Y
1234484,11b,N
1234484,12a,Y
1234484,12b,N
1234507,3a,N
1234507,3b,N
1234507,4a,N
1234507,4b,N
1234507,5,N
1234507,6a,N
1234507,6b,N
1234507,7a,N
1234507,7b,N
1234507,8a,N
1234507,8b,N
1234507,9,N
1234507,10,N
1234507,11a,N
1234507,11b,N
1234507,12a,N
1234507,12b,N
1234508,3a,Y
1234508,3b,N
1234508,4a,N
1234508,4b,N
1234508,5,Y
1234508,6a,Y
1234508,6b,N
1234508,7a,N
1234508,7b,N
1234508,8a,N
1234508,8b,N
1234508,9,N
1234508,10,N
1234508,11a,N
1234508,11b,N
1234508,12a,Y
1234508,12b,N
1234631,3a,N
1234631,3b,N
1234631,4a,N
1234631,4b,N
1234631,5,Y
1234631,6a,Y
1234631,6b,N
1234631,7a,N
1234631,7b,N
1234631,8a,N
1234631,8b,N
1234631,9,N
1234631,10,N
1234631,11a,N
1234631,11b,Y
1234631,12a,N
1234631,12b,N
1246775,3a,N
1246775,3b,N
1246775,4a,Y
1246775,4b,N
1246775,5,N
1246775,6a,Y
1246775,6b,N
1246775,7a,N
1246775,7b,N
1246775,8a,N
1246775,8b,N
1246775,9,Y
1246775,10,N
1246775,11a,N
1246775,11b,N
1246775,12a,N
1246775,12b,N
1255309,3a,N
1255309,3b,N
1255309,4a,Y
1255309,4b,N
1255309,5,Y
1255309,6a,Y
1255309,6b,N
1255309,7a,N
1255309,7b,N
1255309,8a,N
1255309,8b,N
1255309,9,N
1255309,10,N
1255309,11a,N
1255309,11b,N
1255309,12a,N
1255309,12b,N
1256966,3a,N
1256966,3b,N
1256966,4a,Y
1256966,4b,Y
1256966,5,N
1256966,6a,Y
1256966,6b,N
1256966,7a,N
1256966,7b,N
1256966,8a,N
1256966,8b,N
1256966,9,N
1256966,10,N
1256966,11a,N
1256966,11b,N
1256966,12a,N
1256966,12b,N
1256990,3a,N
1256990,3b,N
1256990,4a,N
1256990,4b,N
1256990,5,Y
1256990,6a,Y
1256990,6b,N
1256990,7a,N
1256990,7b,N
1256990,8a,N
1256990,8b,N
1256990,9,N
1256990,10,N
1256990,11a,N
1256990,11b,N
1256990,12a,N
1256990,12b,N
1257500,3a,Y
1257500,3b,N
1257500,4a,N
1257500,4b,N
1257500,5,Y
1257500,6a,Y
1257500,6b,N
1257500,7a,N
1257500,7b,N
1257500,8a,N
1257500,8b,N
1257500,9,N
1257500,10,N
1257500,11a,N
1257500,11b,N
1257500,12a,N
1257500,12b,N
1265295,3a,N
1265295,3b,N
1265295,4a,N
1265295,4b,N
1265295,5,N
1265295,6a,Y
1265295,6b,N
1265295,7a,N
1265295,7b,N
1265295,8a,N
1265295,8b,N
1265295,9,N
1265295,10,N
1265295,11a,N
1265295,11b,N
1265295,12a,N
1265295,12b,N
1267438,3a,N
1267438,3b,N
1267438,4a,N
1267438,4b,N
1267438,5,Y
1267438,6a,Y
1267438,6b,N
1267438,7a,N
1267438,7b,N
1267438,8a,N
1267438,8b,N
1267438,9,N
1267438,10,N
1267438,11a,Y
1267438,11b,N
1267438,12a,N
1267438,12b,N
1269844,3a,N
1269844,3b,N
1269844,4a,Y
1269844,4b,N
1269844,5,Y
1269844,6a,Y
1269844,6b,N
1269844,7a,N
1269844,7b,N
1269844,8a,N
1269844,8b,N
1269844,9,N
1269844,10,N
1269844,11a,N
1269844,11b,N
1269844,12a,Y
1269844,12b,N
1272683,3a,N
1272683,3b,N
1272683,4a,N
1272683,4b,Y
1272683,5,Y
1272683,6a,Y
1272683,6b,N
1272683,7a,N
1272683,7b,N
1272683,8a,Y
1272683,8b,N
1272683,9,N
1272683,10,N
1272683,11a,Y
1272683,11b,N
1272683,12a,Y
1272683,12b,N
1272686,3a,N
1272686,3b,N
1272686,4a,N
1272686,4b,N
1272686,5,Y
1272686,6a,Y
1272686,6b,N
1272686,7a,N
1272686,7b,N
1272686,8a,N
1272686,8b,N
1272686,9,N
1272686,10,N
1272686,11a,Y
1272686,11b,Y
1272686,12a,Y
1272686,12b,N
1272721,3a,N
1272721,3b,N
1272721,4a,N
1272721,4b,Y
1272721,5,N
1272721,6a,Y
1272721,6b,N
1272721,7a,N
1272721,7b,N
1272721,8a,N
1272721,8b,N
1272721,9,N
1272721,10,N
1272721,11a,Y
1272721,11b,N
1272721,12a,Y
1272721,12b,N
1275144,3a,N
1275144,3b,N
1275144,4a,N
1275144,4b,N
1275144,5,Y
1275144,6a,Y
1275144,6b,N
1275144,7a,N
1275144,7b,N
1275144,8a,N
1275144,8b,N
1275144,9,Y
1275144,10,N
1275144,11a,N
1275144,11b,N
1275144,12a,N
1275144,12b,N
1280091,3a,Y
1280091,3b,N
1280091,4a,N
1280091,4b,N
1280091,5,Y
1280091,6a,Y
1280091,6b,N
1280091,7a,N
1280091,7b,N
1280091,8a,N
1280091,8b,N
1280091,9,N
1280091,10,N
1280091,11a,N
1280091,11b,Y
1280091,12a,Y
1280091,12b,N
1280145,3a,N
1280145,3b,N
1280145,4a,Y
1280145,4b,Y
1280145,5,Y
1280145,6a,Y
1280145,6b,N
1280145,7a,N
1280145,7b,N
1280145,8a,N
1280145,8b,N
1280145,9,N
1280145,10,N
1280145,11a,N
1280145,11b,N
1280145,12a,N
1280145,12b,N
1280802,3a,Y
1280802,3b,N
1280802,4a,N
1280802,4b,N
1280802,5,Y
1280802,6a,Y
1280802,6b,N
1280802,7a,N
1280802,7b,N
1280802,8a,N
1280802,8b,N
1280802,9,N
1280802,10,N
1280802,11a,Y
1280802,11b,N
1280802,12a,Y
1280802,12b,N
1280803,3a,Y
1280803,3b,N
1280803,4a,Y
1280803,4b,N
1280803,5,Y
1280803,6a,Y
1280803,6b,N
1280803,7a,N
1280803,7b,N
1280803,8a,N
1280803,8b,N
1280803,9,N
1280803,10,N
1280803,11a,Y
1280803,11b,Y
1280803,12a,Y
1280803,12b,N
1281078,3a,N
1281078,3b,N
1281078,4a,N
1281078,4b,N
1281078,5,Y
1281078,6a,Y
1281078,6b,N
1281078,7a,N
1281078,7b,N
1281078,8a,N
1281078,8b,N
1281078,9,N
1281078,10,N
1281078,11a,N
1281078,11b,N
1281078,12a,N
1281078,12b,N
1282537,3a,N
1282537,3b,N
1282537,4a,N
1282537,4b,N
1282537,5,Y
1282537,6a,Y
1282537,6b,N
1282537,7a,N
1282537,7b,N
1282537,8a,N
1282537,8b,N
1282537,9,N
1282537,10,N
1282537,11a,Y
1282537,11b,N
1282537,12a,N
1282537,12b,N
1286128,3a,N
1286128,3b,N
1286128,4a,N
1286128,4b,N
1286128,5,N
1286128,6a,Y
1286128,6b,N
1286128,7a,N
1286128,7b,N
1286128,8a,N
1286128,8b,N
1286128,9,N
1286128,10,N
1286128,11a,N
1286128,11b,N
1286128,12a,Y
1286128,12b,N
1288797,3a,N
1288797,3b,N
1288797,4a,N
1288797,4b,N
1288797,5,Y
1288797,6a,Y
1288797,6b,N
1288797,7a,N
1288797,7b,N
1288797,8a,N
1288797,8b,N
1288797,9,N
1288797,10,N
1288797,11a,N
1288797,11b,N
1288797,12a,N
1288797,12b,N
1288902,3a,N
1288902,3b,N
1288902,4a,Y
1288902,4b,N
1288902,5,Y
1288902,6a,Y
1288902,6b,N
1288902,7a,N
1288902,7b,N
1288902,8a,Y
1288902,8b,N
1288902,9,N
1288902,10,N
1288902,11a,N
1288902,11b,N
1288902,12a,Y
1288902,12b,N
1288904,3a,Y
1288904,3b,N
1288904,4a,Y
1288904,4b,Y
1288904,5,Y
1288904,6a,Y
1288904,6b,N
1288904,7a,N
1288904,7b,N
1288904,8a,N
1288904,8b,N
1288904,9,N
1288904,10,N
1288904,11a,Y
1288904,11b,Y
1288904,12a,Y
1288904,12b,N
1288906,3a,N
1288906,3b,N
1288906,4a,Y
1288906,4b,N
1288906,5,Y
1288906,6a,Y
1288906,6b,N
1288906,7a,N
1288906,7b,N
1288906,8a,N
1288906,8b,N
1288906,9,Y
1288906,10,N
1288906,11a,N
1288906,11b,Y
1288906,12a,Y
1288906,12b,N
1289019,3a,Y
1289019,3b,N
1289019,4a,Y
1289019,4b,N
1289019,5,Y
1289019,6a,Y
1289019,6b,N
1289019,7a,N
1289019,7b,N
1289019,8a,N
1289019,8b,N
1289019,9,N
1289019,10,N
1289019,11a,N
1289019,11b,N
1289019,12a,Y
1289019,12b,N
1289921,3a,N
1289921,3b,N
1289921,4a,Y
1289921,4b,N
1289921,5,Y
1289921,6a,Y
1289921,6b,N
1289921,7a,N
1289921,7b,N
1289921,8a,N
1289921,8b,N
1289921,9,N
1289921,10,N
1289921,11a,N
1289921,11b,N
