Protocol/Results,PairID,PMCID,ChecklistItem,Reported,Split
Protocol,1,PMC3117715,1a_Title_Randomized,0,train
Protocol,1,PMC3117715,1b_Title_Type,0,train
Protocol,1,PMC3117715,1c_Title_Framework,0,train
Protocol,1,PMC3117715,1d_Title_Centers,0,train
Protocol,1,PMC3117715,1e_Title_Population,1,train
Protocol,1,PMC3117715,1f_Title_Intervention,1,train
Protocol,1,PMC3117715,1g_Title_Acronym,1,train
Protocol,1,PMC3117715,2_Abstract_structured,1,train
Protocol,1,PMC3117715,3a_Registry_number,1,train
Protocol,1,PMC3117715,3b_Protocol_access,0,train
Protocol,1,PMC3117715,4_Funding,1,train
Protocol,1,PMC3117715,5a_Sponsor,1,train
Protocol,1,PMC3117715,5b_Contributors_roles,1,train
Protocol,1,PMC3117715,5c_Oversight_committees,1,train
Protocol,1,PMC3117715,7_Objectives,1,train
Protocol,1,PMC3117715,8a_Design_Type,1,train
Protocol,1,PMC3117715,8b_Design_Framework,1,train
Protocol,1,PMC3117715,8c_Design_Centers,1,train
Protocol,1,PMC3117715,8d_Design_Ratio,1,train
Protocol,1,PMC3117715,9_Setting,1,train
Protocol,1,PMC3117715,10a_Participants_inclusion,1,train
Protocol,1,PMC3117715,10b_Center_interventionist_inclusion,1,train
Protocol,1,PMC3117715,11a_Intervention_Description,1,train
Protocol,1,PMC3117715,11b_Intervention_Modification,1,train
Protocol,1,PMC3117715,11c_Intervention_Monitoring,1,train
Protocol,1,PMC3117715,11d_Intervention_Concomitant,1,train
Protocol,1,PMC3117715,12a_Outcomes_Definitions,1,train
Protocol,1,PMC3117715,12b_Outcomes_Changes,0,train
Protocol,1,PMC3117715,13_Participant_timeline,1,train
Protocol,1,PMC3117715,14a_Sample_size,1,train
Protocol,1,PMC3117715,14b_Sample_Calculation,1,train
Protocol,1,PMC3117715,15_Recruitment,1,train
Protocol,1,PMC3117715,16a_Randomization_Generation,1,train
Protocol,1,PMC3117715,16b_Randomization_Type,1,train
Protocol,1,PMC3117715,16c_Randomization_Block_size,1,train
Protocol,1,PMC3117715,16d_Randomization_Strata,1,train
Protocol,1,PMC3117715,16e_Allocation_Mechanism,1,train
Protocol,1,PMC3117715,16f_Allocation_Concealment,1,train
Protocol,1,PMC3117715,16g_Personnel_Sequence,1,train
Protocol,1,PMC3117715,16h_Personnel_Enrollment,1,train
Protocol,1,PMC3117715,17a_Masking_People_masked,1,train
Protocol,1,PMC3117715,17b_Masking_Not_masked,1,train
Protocol,1,PMC3117715,17c_Masking_Type,0,train
Protocol,1,PMC3117715,17d_Masking_Unblinding,0,train
Protocol,1,PMC3117715,17e_Masking_Similarity,0,train
Protocol,1,PMC3117715,18a_Data_Collection,1,train
Protocol,1,PMC3117715,18b_Data_Retention,0,train
Protocol,1,PMC3117715,19_Data_Management,1,train
Protocol,1,PMC3117715,20a_Statistical_methods_Outcomes,1,train
Protocol,1,PMC3117715,20b_Statistical_methods_Other_Analyses,1,train
Protocol,1,PMC3117715,20c_Statistical_methods_Analysis_population,1,train
Protocol,1,PMC3117715,20d_Statistical_methods_Missing_data,1,train
Protocol,1,PMC3117715,21a_Data_monitoring_committee,0,train
Protocol,1,PMC3117715,21b_Interim_analyses,0,train
Protocol,1,PMC3117715,21c_Stopping_guidelines,0,train
Protocol,1,PMC3117715,22_Harms_non-systematic,0,train
Protocol,1,PMC3117715,23_Auditing,0,train
Protocol,1,PMC3117715,24_Ethics,1,train
Protocol,1,PMC3117715,25_Amendments,0,train
Protocol,1,PMC3117715,26a_Consent_Obtaining,1,train
Protocol,1,PMC3117715,26b_Consent_Provisions,0,train
Protocol,1,PMC3117715,27_Confidentiality,0,train
Protocol,1,PMC3117715,28_Financial_interests,1,train
Protocol,1,PMC3117715,29_Data_access,0,train
Protocol,1,PMC3117715,30_Post_trial_care,0,train
Protocol,1,PMC3117715,31a_Dissemination,0,train
Protocol,1,PMC3117715,31b_Authorship,0,train
Protocol,1,PMC3117715,31c_Sharing_Materials,1,train
Protocol,1,PMC3117715,31d_Sharing_Data,0,train
Protocol,1,PMC3117715,31e_Sharing_Code,0,train
Protocol,1,PMC3117715,32_Informed_consent_materials,0,train
Protocol,1,PMC3117715,33_Biological_specimens,0,train
Protocol,1,PMC3117715,34_Flow,0,train
Protocol,1,PMC3117715,35a_Recruitment_dates,1,train
Protocol,1,PMC3117715,35b_Followup_dates,1,train
Protocol,1,PMC3117715,35c_Stopping,0,train
Protocol,1,PMC3117715,36_Baseline_data,0,train
Protocol,1,PMC3117715,37a_Analysis_Numbers,0,train
Protocol,1,PMC3117715,38a_Outcome_results,0,train
Protocol,1,PMC3117715,38b_Binary_results,0,train
Protocol,1,PMC3117715,39_Ancillary_results,0,train
Protocol,1,PMC3117715,40_Harms_results,0,train
Protocol,1,PMC3117715,41_Generalizability,0,train
Protocol,2,PMC3120681,1a_Title_Randomized,0,test
Protocol,2,PMC3120681,1b_Title_Type,0,test
Protocol,2,PMC3120681,1c_Title_Framework,0,test
Protocol,2,PMC3120681,1d_Title_Centers,0,test
Protocol,2,PMC3120681,1e_Title_Population,1,test
Protocol,2,PMC3120681,1f_Title_Intervention,1,test
Protocol,2,PMC3120681,1g_Title_Acronym,1,test
Protocol,2,PMC3120681,2_Abstract_structured,1,test
Protocol,2,PMC3120681,3a_Registry_number,1,test
Protocol,2,PMC3120681,3b_Protocol_access,0,test
Protocol,2,PMC3120681,4_Funding,1,test
