PMID,CONSORT_item,is_reported
26375,3a,N
26375,3b,N
26375,4a,N
26375,4b,N
26375,5,N
26375,6a,N
26375,6b,N
26375,7a,N
26375,7b,N
26375,8a,N
26375,8b,N
26375,9,N
26375,10,N
26375,11a,N
26375,11b,N
26375,12a,N
26375,12b,N
2600323,3a,N
2600323,3b,N
2600323,4a,N
2600323,4b,N
2600323,5,Y
2600323,6a,Y
2600323,6b,N
2600323,7a,N
2600323,7b,N
2600323,8a,N
2600323,8b,N
2600323,9,Y
2600323,10,N
2600323,11a,N
2600323,11b,Y
2600323,12a,Y
2600323,12b,N
2604291,3a,N
2604291,3b,N
2604291,4a,Y
2604291,4b,N
2604291,5,Y
2604291,6a,Y
2604291,6b,N
2604291,7a,N
2604291,7b,N
2604291,8a,N
2604291,8b,N
2604291,9,N
2604291,10,N
2604291,11a,N
2604291,11b,N
2604291,12a,N
2604291,12b,N
2605069,3a,N
2605069,3b,N
2605069,4a,Y
2605069,4b,N
2605069,5,Y
2605069,6a,Y
2605069,6b,N
2605069,7a,N
2605069,7b,N
2605069,8a,N
2605069,8b,N
2605069,9,N
2605069,10,N
2605069,11a,N
2605069,11b,N
2605069,12a,Y
2605069,12b,N
2605079,3a,N
2605079,3b,N
2605079,4a,N
2605079,4b,N
2605079,5,Y
2605079,6a,Y
2605079,6b,N
2605079,7a,N
2605079,7b,N
2605079,8a,N
2605079,8b,N
2605079,9,N
2605079,10,N
2605079,11a,N
2605079,11b,N
2605079,12a,Y
2605079,12b,N
2605440,3a,N
2605440,3b,N
2605440,4a,N
2605440,4b,N
2605440,5,N
2605440,6a,Y
2605440,6b,N
2605440,7a,N
2605440,7b,N
2605440,8a,N
2605440,8b,N
2605440,9,N
2605440,10,N
2605440,11a,N
2605440,11b,N
2605440,12a,Y
2605440,12b,N
2607268,3a,N
2607268,3b,N
2607268,4a,N
2607268,4b,N
2607268,5,Y
2607268,6a,Y
2607268,6b,N
2607268,7a,N
2607268,7b,N
2607268,8a,Y
2607268,8b,N
2607268,9,N
2607268,10,N
2607268,11a,Y
2607268,11b,N
2607268,12a,Y
2607268,12b,N
2607269,3a,N
2607269,3b,N
2607269,4a,Y
2607269,4b,N
2607269,5,Y
2607269,6a,Y
2607269,6b,N
2607269,7a,N
2607269,7b,N
2607269,8a,N
2607269,8b,N
2607269,9,N
2607269,10,N
2607269,11a,Y
2607269,11b,N
2607269,12a,N
2607269,12b,N
2607285,3a,N
2607285,3b,N
2607285,4a,N
2607285,4b,N
2607285,5,Y
2607285,6a,Y
2607285,6b,N
2607285,7a,N
2607285,7b,N
2607285,8a,N
2607285,8b,N
2607285,9,N
2607285,10,N
2607285,11a,N
2607285,11b,N
2607285,12a,Y
2607285,12b,N
2607293,3a,N
2607293,3b,N
2607293,4a,N
2607293,4b,N
2607293,5,Y
2607293,6a,Y
2607293,6b,N
2607293,7a,N
2607293,7b,N
2607293,8a,N
2607293,8b,N
2607293,9,N
2607293,10,N
2607293,11a,N
2607293,11b,N
2607293,12a,Y
2607293,12b,N
2608693,3a,N
2608693,3b,N
2608693,4a,Y
2608693,4b,N
2608693,5,Y
2608693,6a,Y
2608693,6b,N
2608693,7a,N
2608693,7b,N
2608693,8a,Y
2608693,8b,N
2608693,9,Y
2608693,10,N
2608693,11a,N
2608693,11b,Y
2608693,12a,N
2608693,12b,N
2610502,3a,Y
2610502,3b,N
2610502,4a,N
2610502,4b,N
2610502,5,Y
2610502,6a,Y
2610502,6b,N
2610502,7a,N
2610502,7b,N
2610502,8a,N
2610502,8b,N
2610502,9,N
2610502,10,N
2610502,11a,N
2610502,11b,N
2610502,12a,Y
2610502,12b,Y
2610619,3a,N
2610619,3b,N
2610619,4a,N
2610619,4b,Y
2610619,5,Y
2610619,6a,Y
2610619,6b,N
2610619,7a,N
2610619,7b,N
2610619,8a,N
2610619,8b,N
2610619,9,N
2610619,10,N
2610619,11a,N
2610619,11b,N
2610619,12a,Y
2610619,12b,N
2611446,3a,N
2611446,3b,N
2611446,4a,N
2611446,4b,N
2611446,5,Y
2611446,6a,Y
2611446,6b,N
2611446,7a,N
2611446,7b,N
2611446,8a,N
2611446,8b,N
2611446,9,N
2611446,10,N
2611446,11a,N
2611446,11b,N
2611446,12a,Y
2611446,12b,N
2613380,3a,N
2613380,3b,N
2613380,4a,N
2613380,4b,N
2613380,5,Y
2613380,6a,Y
2613380,6b,N
2613380,7a,N
2613380,7b,N
2613380,8a,N
2613380,8b,N
2613380,9,N
2613380,10,N
2613380,11a,N
2613380,11b,N
2613380,12a,Y
2613380,12b,N
2613719,3a,N
2613719,3b,N
2613719,4a,N
2613719,4b,N
2613719,5,N
2613719,6a,Y
2613719,6b,N
2613719,7a,N
2613719,7b,N
2613719,8a,N
2613719,8b,N
2613719,9,N
2613719,10,N
2613719,11a,N
2613719,11b,N
2613719,12a,Y
2613719,12b,N
2616586,3a,N
2616586,3b,N
2616586,4a,N
2616586,4b,N
2616586,5,Y
2616586,6a,Y
2616586,6b,N
2616586,7a,N
2616586,7b,N
2616586,8a,N
2616586,8b,N
2616586,9,N
2616586,10,N
2616586,11a,N
2616586,11b,N
2616586,12a,Y
2616586,12b,N
2616824,3a,Y
2616824,3b,N
2616824,4a,Y
2616824,4b,N
2616824,5,Y
2616824,6a,Y
2616824,6b,N
2616824,7a,N
2616824,7b,N
2616824,8a,N
2616824,8b,N
2616824,9,N
2616824,10,N
2616824,11a,N
2616824,11b,N
2616824,12a,Y
2616824,12b,N
2618792,3a,N
2618792,3b,N
2618792,4a,N
2618792,4b,N
2618792,5,N
2618792,6a,Y
2618792,6b,N
2618792,7a,N
2618792,7b,N
2618792,8a,N
2618792,8b,N
2618792,9,N
2618792,10,N
2618792,11a,N
2618792,11b,N
2618792,12a,Y
2618792,12b,N
2618843,3a,N
2618843,3b,N
2618843,4a,N
2618843,4b,Y
2618843,5,Y
2618843,6a,Y
2618843,6b,N
2618843,7a,N
2618843,7b,N
2618843,8a,N
2618843,8b,N
2618843,9,N
2618843,10,N
2618843,11a,N
2618843,11b,N
2618843,12a,N
2618843,12b,N
2620532,3a,N
2620532,3b,N
2620532,4a,N
2620532,4b,N
2620532,5,Y
2620532,6a,Y
2620532,6b,N
2620532,7a,N
2620532,7b,N
2620532,8a,N
2620532,8b,N
